STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2009,,1043623,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2008,,1025993,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2007,,1008187,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2006,,989929,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2005,,971351,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2004,,953312,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2003,,935491,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2002,,919045,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,F,Female,PS,Persons,2001,,881626,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2025,,1906820,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2024,,2024270,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2022,,2447905,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2021,,2422213,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y_GT15,Over 15 years,_T,Total,PS,Persons,2020,,2394292,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2025,,606700,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2024,,617274,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2023,,624988,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,PU,Predominantly urban region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2022,,636141,,CHL,Chile,A,Normal value,0,Units,0,Zero
