country,year,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap
Indonesia,2023,32.4,21.9,22.1,25.2,0.0,0.0,0.0,100.0,25.0,0.0,37.6,73.3,72.2,75.8,11.1,62.7,
Iran,2023,18.0,5.6,,33.6,75.0,25.0,100.0,100.0,75.0,100.0,50.3,78.1,55.3,69.8,55.4,49.9,-3.8999999999999995
Iraq,2023,21.8,28.9,1.6,44.9,25.0,25.0,75.0,100.0,75.0,100.0,48.7,73.0,71.5,78.5,64.0,64.9,-4.8
Ireland,2023,36.4,23.1,15.1,31.6,0.0,0.0,0.0,0.0,75.0,0.0,,,,,,,-2.8000000000000003
Israel,2023,34.6,23.3,10.1,35.3,50.0,0.0,0.0,25.0,25.0,100.0,,,,,,,
Italy,2023,27.3,32.3,15.3,64.2,0.0,0.0,0.0,0.0,50.0,0.0,,54.3,20.1,25.7,54.1,16.4,-2.9000000000000004
Jamaica,2023,56.7,28.6,24.1,54.1,0.0,0.0,0.0,0.0,25.0,100.0,,,,,,,
Japan,2023,13.3,9.9,,27.6,0.0,0.0,0.0,0.0,75.0,100.0,14.4,82.0,29.3,25.9,16.4,22.6,-2.8
Jordan,2023,60.3,12.3,3.1,17.3,75.0,0.0,75.0,100.0,75.0,100.0,56.3,72.4,71.9,81.5,84.6,56.2,
Kazakhstan,2023,41.1,27.4,26.0,46.0,0.0,0.0,0.0,0.0,75.0,100.0,31.6,52.6,51.6,49.3,34.5,45.5,-3.0
Kenya,2023,49.6,23.4,18.1,44.3,0.0,0.0,75.0,75.0,50.0,50.0,53.3,33.2,42.2,36.8,22.6,32.2,
Korea,2023,16.3,18.6,,75.5,0.0,0.0,0.0,25.0,25.0,100.0,32.5,49.7,52.0,52.9,64.7,47.9,-2.4
Kosovo,2023,,36.7,2.7,36.0,0.0,0.0,0.0,25.0,50.0,25.0,,,,,,,
Kuwait,2023,13.6,6.3,,17.5,75.0,0.0,0.0,100.0,75.0,100.0,30.8,66.6,79.0,62.7,68.2,61.6,
Kyrgyzstan,2023,47.4,20.5,32.9,62.5,25.0,25.0,0.0,25.0,75.0,100.0,61.8,81.4,72.3,71.2,35.0,70.8,-1.7000000000000002
Lao People’s Democratic Republic,2023,59.0,22.0,43.1,5.0,25.0,0.0,0.0,25.0,50.0,75.0,,,,,,,-0.8999999999999999
Latvia,2023,46.9,30.0,32.6,45.2,0.0,0.0,0.0,0.0,25.0,0.0,46.1,62.7,40.4,18.8,47.8,38.1,-2.2
Lebanon,2023,21.2,6.3,5.9,84.5,25.0,0.0,0.0,100.0,75.0,100.0,34.4,50.6,46.4,61.7,63.5,36.3,
Lesotho,2023,33.8,26.5,36.2,37.4,0.0,0.0,0.0,50.0,25.0,100.0,,,,,,,-2.2
Liberia,2023,40.9,11.0,20.4,46.7,0.0,25.0,0.0,50.0,50.0,75.0,,,,,,,-0.9
Libya,2023,,16.5,,57.2,75.0,25.0,75.0,100.0,75.0,100.0,40.1,79.3,73.5,74.1,64.6,58.7,
Lithuania,2023,37.9,28.4,30.7,50.3,0.0,0.0,0.0,0.0,50.0,25.0,58.4,82.6,44.6,21.5,54.3,39.8,-2.0
Luxembourg,2023,26.3,33.3,7.4,19.5,0.0,0.0,0.0,0.0,25.0,25.0,,,,,,,-1.8
Madagascar,2023,31.8,18.5,37.3,43.6,25.0,25.0,75.0,25.0,0.0,100.0,,,,,,,
Malawi,2023,15.6,22.9,14.2,44.8,25.0,0.0,75.0,25.0,50.0,0.0,,,,,,,-1.8
